Time,traj_1,traj_2,traj_3,traj_4,traj_5,traj_6,traj_7,traj_8,traj_9,traj_10,traj_11,traj_12,traj_13,traj_14,traj_15,traj_16,traj_17,traj_18,traj_19,traj_20
0,1.14150136708686,0.978377267725443,1.11982586117376,0.984237337562312,1.08896572459516,1.10903998022741,1.00520501539972,1.01807714533323,1.12818065050716,1.00085643579431,1.07320893522933,1.00716780376407,1.05615951060179,1.01742452887978,1.00259425690803,1.13266747230033,0.971330554036117,1.02995652981978,0.979107796076943,1.07441102629701
0.05,1.1712547068862,1.01381777099718,1.14681734620135,1.01172890487333,1.10625158614507,1.13235030960364,1.02945580864039,1.0517789936297,1.14502773982241,1.03884212027395,1.10494292692746,1.03492872777513,1.07656831626232,1.04302962984506,1.03696015583952,1.15511694661355,1.00766326272636,1.05627348876629,1.01145122706912,1.09899089635206
0.1,1.18970534120182,1.0375424595779,1.16255718878875,1.02933746888941,1.1132338746112,1.14488984379985,1.04359101561768,1.07374526022537,1.15239717895783,1.06363855156277,1.12422860036259,1.05192934849264,1.08648453458407,1.05734043585683,1.05808094814403,1.16647204743287,1.03323827570382,1.07176942773018,1.03146070536643,1.11232524252106
0.15,1.19909696875852,1.05181388521183,1.16807050081775,1.03955672887288,1.11393905088877,1.14880470185841,1.05034686203199,1.08710957812914,1.15290448287778,1.08008999532954,1.13353111310136,1.0610889185546,1.08825378586444,1.06304082796928,1.07067654998415,1.1693040814369,1.04883985600073,1.07867361240183,1.04200889429704,1.11867003057389
0.2,1.20151252402308,1.05866619623035,1.16728402106137,1.04424419174053,1.10956939874497,1.14758091617028,1.05194931782462,1.0939773481619,1.14842609267905,1.08897008315074,1.13672717778833,1.06398869394387,1.08519693552921,1.06307930226427,1.07643894505473,1.16581029909278,1.05791986084326,1.07922408284572,1.04627358959592,1.11887976831798
0.25,1.19850854749991,1.0601403423559,1.1616619216,1.04475573045126,1.10142403837998,1.14184347428406,1.04912913494153,1.09589960529176,1.14030450924602,1.09241172722297,1.13453482699154,1.06256417770567,1.07801414350766,1.05823319774251,1.07699955965867,1.15710332647037,1.06221031752896,1.07473547398227,1.04515487839828,1.1144255130566
0.3,1.19149613006465,1.05751355851279,1.15200875800128,1.04202711705384,1.09032724639342,1.13267068358413,1.04333891095155,1.09397152452988,1.12941092643685,1.09190544634912,1.12820198106879,1.05783314443836,1.06758897569208,1.04963745576458,1.0735040761909,1.14478823514004,1.06241171680955,1.06648970414868,1.0397673077418,1.10682665877741
0.35,1.18127687367899,1.05164810405229,1.13910266538708,1.03661387292347,1.07710058374343,1.12075685765692,1.03534224893429,1.08884240961482,1.11636259658274,1.08799178910989,1.11852931208317,1.05059898855373,1.05493323159229,1.03852947013948,1.06685802655691,1.12966616290581,1.05938892887748,1.05540934320114,1.03152025614572,1.09655335363997
0.4,1.16850692932236,1.04318647579412,1.12400209539608,1.02905882036604,1.06220598711738,1.10673149967101,1.02543321193056,1.08115198473728,1.10165589034421,1.08129459069918,1.10626786054859,1.04121136268263,1.04048463269697,1.02525798509624,1.05760061523564,1.11236963388158,1.05369015164479,1.04210723101917,1.02078629360135,1.08414268870628
0.45,1.15366878834189,1.03280514629015,1.10701270268204,1.0196986653556,1.04603408469901,1.09099230564611,1.01397954537141,1.07133257184397,1.08557102119771,1.072327533388,1.09188625264855,1.03008103461829,1.02462621926044,1.01026741268916,1.04626172463219,1.09340718680716,1.0459489777684,1.02717373412859,1.00804821988662,1.07003420074719
0.5,1.13707578224596,1.02070621434522,1.08850784679935,1.00889796350225,1.02890064768456,1.07391413352198,1.00129224381971,1.0597864158051,1.06839712457088,1.06152230524825,1.07582537756463,1.01753750325576,1.00769904788693,0.993947692386533,1.03321231228239,1.07307008288004,1.03641700153728,1.01081045784155,0.993734286163971,1.05457710259008
0.55,1.11903734336488,1.00718162969099,1.06881547859681,0.996831705492195,1.01093683980907,1.05578536602118,0.98764360119452,1.04674718330839,1.05035778061081,1.04908027055239,1.05843498878246,1.00385393521643,0.989983078313384,0.976637314218818,1.01876632281491,1.05166358195065,1.02537695181587,0.993295084495438,0.978233211562898,1.0379528533394
0.6,1.09979783783715,0.992505133135388,1.0481915145488,0.983685014286525,0.992301448350479,1.0367695394696,0.973121222675702,1.03245131530774,1.03158566295298,1.03523452333577,1.0399169260169,0.98915467793946,0.971586492229266,0.958466754015166,1.00312801233584,1.02943690102916,1.01308006642176,0.974884839867116,0.961617577246917,1.02036070405164
0.65,1.07956415254959,0.976902031698814,1.026796019404,0.969611165456714,0.973139766547187,1.01702426375088,0.957845529486025,1.01708758587976,1.01219355514212,1.02019527480217,1.02046579728836,0.973585790393689,0.952629961128691,0.939569133818485,0.986500364871866,1.00659425149308,0.999692590003786,0.955794841796137,0.944121931137438,1.0019698391438
